TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
ZSCAN23	-1.269	8.977e-01	-2.179	0.375	0.806	9.669e-01
ELF2	-1.332	9.085e-01	-1.504	0.311	0.806	9.669e-01
KLF13	-1.438	9.248e-01	-1.719	0.359	0.806	9.671e-01
ZNF692	-0.907	8.177e-01	-3.169	0.406	0.806	9.673e-01
INSM2	-1.164	8.778e-01	-2.481	0.384	0.810	9.693e-01
MAFB	-1.270	8.980e-01	-1.824	0.322	0.811	9.694e-01
BARX2	-1.341	9.101e-01	-1.568	0.310	0.811	9.696e-01
NFAT5	-1.291	9.016e-01	-1.786	0.319	0.811	9.696e-01
FXR1	-1.174	8.799e-01	-2.006	0.336	0.813	9.708e-01
KDM3A	-1.423	9.227e-01	-1.958	0.362	0.816	9.721e-01
PAF1	-4.411	1.000e+00	-2.338	0.447	0.818	9.729e-01
ZBTB26	-1.355	9.123e-01	-3.185	0.433	0.819	9.731e-01
ELK4	-2.317	9.897e-01	-1.608	0.382	0.819	9.733e-01
HCFC1	-2.843	9.978e-01	-2.062	0.425	0.820	9.736e-01
EMX1	-1.311	9.050e-01	-2.881	0.415	0.820	9.737e-01
NPAT	-1.163	8.777e-01	-2.184	0.338	0.820	9.737e-01
CHD1	-4.967	1.000e+00	-2.980	0.478	0.820	9.739e-01
ZNF273	-0.879	8.102e-01	-3.011	0.373	0.821	9.741e-01
ZNF189	-0.869	8.076e-01	-3.062	0.374	0.821	9.742e-01
TAF7	-1.980	9.762e-01	-1.921	0.391	0.822	9.748e-01
ZNF76	-2.160	9.846e-01	-2.636	0.438	0.823	9.750e-01
HMGN3	-0.967	8.331e-01	-2.753	0.364	0.823	9.751e-01
THAP11	-1.144	8.738e-01	-2.279	0.341	0.824	9.753e-01
SNAPC1	-1.489	9.318e-01	-1.491	0.280	0.825	9.759e-01
ZNF786	-0.897	8.153e-01	-3.018	0.371	0.825	9.759e-01
ZNF75A	-1.396	9.186e-01	-1.695	0.300	0.825	9.760e-01
ZNF18	-1.811	9.649e-01	-2.726	0.434	0.826	9.762e-01
SUPT5H	-3.104	9.990e-01	-2.276	0.432	0.827	9.766e-01
ZNF574	-1.013	8.445e-01	-2.722	0.359	0.828	9.769e-01
ZNF674	-0.904	8.171e-01	-3.071	0.370	0.828	9.772e-01
PRDM2	-1.296	9.024e-01	-2.480	0.369	0.829	9.775e-01
ZNF131	-1.454	9.270e-01	-1.624	0.286	0.829	9.776e-01
ZFP69B	-1.101	8.645e-01	-3.178	0.396	0.831	9.782e-01
SCML2	-1.303	9.037e-01	-2.611	0.376	0.831	9.783e-01
NFYC	-1.389	9.176e-01	-1.820	0.301	0.831	9.783e-01
ZBTB10	-1.364	9.138e-01	-1.870	0.306	0.831	9.785e-01
RBCK1	-1.426	9.231e-01	-1.751	0.293	0.831	9.785e-01
HBP1	-1.359	9.129e-01	-2.582	0.381	0.833	9.791e-01
FOXD2	-1.267	8.974e-01	-2.207	0.322	0.833	9.791e-01
WT1	-1.212	8.872e-01	-2.840	0.385	0.834	9.793e-01
ZIC2	-1.329	9.081e-01	-1.999	0.312	0.834	9.794e-01
TAF1	-3.209	9.993e-01	-2.665	0.445	0.834	9.795e-01
GMEB1	-1.511	9.346e-01	-1.590	0.274	0.834	9.795e-01
RUVBL1	-1.327	9.078e-01	-2.017	0.312	0.835	9.797e-01
ATOH1	-1.305	9.040e-01	-2.121	0.316	0.835	9.797e-01
ZFP2	-1.140	8.729e-01	-3.337	0.399	0.835	9.799e-01
MEN1	-1.718	9.571e-01	-1.793	0.341	0.837	9.803e-01
CPSF3L	-2.307	9.895e-01	-2.220	0.403	0.839	9.814e-01
KLF9	-2.443	9.927e-01	-2.954	0.444	0.841	9.820e-01
SIX5	-2.595	9.953e-01	-1.948	0.383	0.842	9.823e-01
INO80	-2.934	9.983e-01	-2.628	0.433	0.843	9.825e-01
ZNF324	-1.425	9.229e-01	-2.667	0.386	0.843	9.825e-01
PTPN11	-1.273	8.986e-01	-2.402	0.321	0.845	9.834e-01
MYCN	-3.270	9.995e-01	-2.618	0.433	0.846	9.835e-01
THAP1	-1.252	8.947e-01	-2.521	0.325	0.849	9.844e-01
ZNF501	-1.142	8.733e-01	-3.469	0.386	0.849	9.845e-01
ZNF441	-1.021	8.464e-01	-3.185	0.357	0.851	9.850e-01
DEAF1	-1.435	9.243e-01	-2.025	0.291	0.851	9.852e-01
TET3	-1.936	9.736e-01	-3.520	0.441	0.851	9.852e-01
ZNF341	-1.490	9.318e-01	-2.928	0.396	0.854	9.859e-01
WDR5	-3.057	9.989e-01	-3.457	0.452	0.855	9.863e-01
HEY1	-1.402	9.195e-01	-2.713	0.369	0.855	9.863e-01
TFDP1	-2.493	9.937e-01	-2.178	0.378	0.857	9.867e-01
ZNF468	-1.167	8.785e-01	-2.821	0.337	0.857	9.867e-01
E2F6	-1.913	9.721e-01	-3.102	0.425	0.857	9.869e-01
ZNF792	-1.398	9.190e-01	-2.707	0.361	0.858	9.870e-01
EMSY	-1.588	9.439e-01	-1.861	0.257	0.858	9.870e-01
GPS2	-1.136	8.720e-01	-3.004	0.342	0.858	9.872e-01
SP4	-1.793	9.635e-01	-3.456	0.426	0.860	9.876e-01
TDRD3	-1.563	9.409e-01	-1.961	0.264	0.860	9.877e-01
KDM2B	-4.442	1.000e+00	-3.998	0.457	0.861	9.880e-01
TBL1X	-1.115	8.675e-01	-3.139	0.346	0.861	9.880e-01
EPC1	-2.094	9.819e-01	-1.752	0.282	0.862	9.883e-01
ZBTB1	-1.588	9.439e-01	-2.512	0.354	0.864	9.887e-01
KLF10	-1.902	9.714e-01	-2.043	0.325	0.864	9.887e-01
ARID2	-1.560	9.406e-01	-2.846	0.381	0.865	9.889e-01
KLF8	-1.308	9.046e-01	-3.410	0.376	0.865	9.889e-01
UBTF	-2.050	9.798e-01	-2.970	0.410	0.866	9.892e-01
GLI4	-1.641	9.496e-01	-2.372	0.341	0.867	9.893e-01
SMAD5	-2.014	9.780e-01	-1.978	0.314	0.867	9.894e-01
UHRF2	-1.130	8.708e-01	-3.330	0.343	0.867	9.895e-01
INTS11	-1.725	9.577e-01	-3.126	0.408	0.868	9.896e-01
NR0B1	-1.276	8.991e-01	-2.875	0.321	0.873	9.907e-01
ORC1	-1.493	9.322e-01	-2.314	0.279	0.873	9.908e-01
ZNF391	-1.532	9.373e-01	-2.832	0.362	0.874	9.909e-01
ZNF519	-1.200	8.850e-01	-3.166	0.332	0.876	9.915e-01
RBP2	-1.711	9.565e-01	-1.992	0.209	0.878	9.919e-01
ZBTB7A	-3.284	9.995e-01	-3.026	0.424	0.880	9.922e-01
ZNF580	-1.466	9.286e-01	-3.052	0.360	0.881	9.925e-01
RBL2	-3.378	9.996e-01	-1.956	0.332	0.882	9.926e-01
TCOF1	-1.385	9.170e-01	-2.741	0.302	0.884	9.930e-01
ASH1L	-1.401	9.194e-01	-2.724	0.299	0.887	9.935e-01
SP3	-1.477	9.302e-01	-3.233	0.361	0.888	9.936e-01
OVOL3	-1.931	9.732e-01	-2.389	0.314	0.888	9.937e-01
NRF1	-5.987	1.000e+00	-2.524	0.390	0.889	9.938e-01
ZXDB	-1.416	9.216e-01	-3.604	0.360	0.891	9.941e-01
RYBP	-1.567	9.415e-01	-2.997	0.349	0.891	9.941e-01
TAFII	-2.148	9.841e-01	-2.211	0.284	0.892	9.943e-01
KLF7	-1.684	9.539e-01	-2.822	0.344	0.892	9.943e-01
CSNK2A1	-1.604	9.456e-01	-2.402	0.253	0.892	9.943e-01
ZNF71	-1.724	9.577e-01	-3.006	0.365	0.893	9.944e-01
ZNF483	-1.387	9.173e-01	-2.916	0.301	0.893	9.945e-01
KAT5	-2.594	9.953e-01	-2.198	0.313	0.893	9.945e-01
GMEB2	-2.381	9.914e-01	-2.002	0.238	0.894	9.947e-01
ZNF343	-1.311	9.050e-01	-3.346	0.315	0.894	9.947e-01
KDM5A	-3.222	9.994e-01	-1.898	0.271	0.895	9.948e-01
SAP30	-2.922	9.983e-01	-2.610	0.368	0.895	9.948e-01
OGT	-2.908	9.982e-01	-2.502	0.350	0.898	9.952e-01
TET1	-1.495	9.325e-01	-2.715	0.278	0.898	9.952e-01
KLF12	-1.442	9.254e-01	-2.863	0.289	0.899	9.953e-01
ZSCAN22	-2.304	9.894e-01	-2.604	0.334	0.899	9.954e-01
GTF2B	-4.455	1.000e+00	-2.183	0.327	0.900	9.955e-01
NELFA	-5.093	1.000e+00	-2.143	0.320	0.901	9.957e-01
DCP1A	-2.283	9.888e-01	-2.274	0.264	0.902	9.958e-01
ZNF711	-1.693	9.548e-01	-2.472	0.221	0.902	9.958e-01
ASXL1	-1.332	9.086e-01	-3.456	0.311	0.903	9.958e-01
PATZ1	-1.871	9.694e-01	-3.350	0.373	0.903	9.959e-01
ZSCAN5A	-1.891	9.707e-01	-2.700	0.318	0.903	9.959e-01
GLIS2	-1.579	9.428e-01	-3.376	0.350	0.904	9.960e-01
ZNF282	-1.769	9.615e-01	-2.857	0.328	0.905	9.961e-01
TAF3	-1.550	9.395e-01	-2.815	0.266	0.905	9.962e-01
RPE	-2.964	9.985e-01	-2.595	0.344	0.906	9.962e-01
DDX21	-2.324	9.899e-01	-2.250	0.245	0.906	9.963e-01
MORC2	-2.762	9.971e-01	-2.554	0.333	0.907	9.964e-01
FGFR1	-1.886	9.703e-01	-2.951	0.339	0.907	9.964e-01
MCRS1	-1.632	9.486e-01	-2.711	0.246	0.911	9.968e-01
SPIN1	-1.725	9.577e-01	-2.558	0.187	0.911	9.968e-01
MAPK1	-1.865	9.689e-01	-3.077	0.337	0.913	9.970e-01
RBBP5	-3.056	9.989e-01	-3.089	0.379	0.913	9.971e-01
EZH1	-2.213	9.866e-01	-3.455	0.370	0.915	9.972e-01
PHF8	-5.561	1.000e+00	-2.649	0.358	0.915	9.973e-01
AUTS2	-1.588	9.438e-01	-2.923	0.257	0.916	9.974e-01
SP2	-2.675	9.963e-01	-2.855	0.348	0.917	9.974e-01
IRAK4	-1.578	9.427e-01	-2.960	0.260	0.917	9.975e-01
KDM4C	-1.469	9.290e-01	-3.359	0.283	0.919	9.976e-01
KAT7	-1.551	9.396e-01	-3.136	0.266	0.921	9.978e-01
PCGF1	-1.874	9.695e-01	-3.784	0.347	0.922	9.979e-01
SRSF3	-2.404	9.919e-01	-2.498	0.218	0.922	9.979e-01
FAM208A	-2.193	9.858e-01	-2.795	0.285	0.923	9.980e-01
ZBTB8A	-1.701	9.555e-01	-3.800	0.335	0.923	9.980e-01
BCL11B	-3.389	9.996e-01	-2.641	0.320	0.925	9.981e-01
PHF6	-1.592	9.443e-01	-3.097	0.257	0.927	9.983e-01
U2AF1	-3.309	9.995e-01	-2.352	0.242	0.927	9.983e-01
ZNF610	-2.197	9.860e-01	-3.502	0.344	0.929	9.984e-01
BRD1	-1.597	9.449e-01	-3.157	0.255	0.930	9.984e-01
ZNF423	-1.935	9.735e-01	-3.174	0.309	0.932	9.986e-01
XRN2	-4.466	1.000e+00	-2.670	0.314	0.934	9.987e-01
IRAK1	-1.669	9.524e-01	-3.286	0.232	0.939	9.990e-01
BRPF3	-2.465	9.931e-01	-3.266	0.319	0.940	9.990e-01
PHF2	-2.219	9.867e-01	-3.026	0.264	0.942	9.991e-01
ZBTB14	-1.648	9.503e-01	-3.757	0.240	0.944	9.992e-01
TTF2	-2.114	9.827e-01	-3.663	0.300	0.946	9.993e-01
ZNF783	-1.704	9.558e-01	-3.548	0.216	0.948	9.994e-01
NCAPH2	-2.184	9.855e-01	-3.757	0.271	0.953	9.995e-01
