TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
MLLT1	-3.137	9.991e-01	-2.974	0.509	0.804	9.662e-01
VEZF1	-1.301	9.033e-01	-1.784	0.412	0.804	9.662e-01
CEBPG	-2.266	9.883e-01	-0.936	0.393	0.806	9.673e-01
RFX2	-1.113	8.672e-01	-1.743	0.386	0.806	9.673e-01
KLF10	-1.532	9.372e-01	-1.769	0.419	0.808	9.684e-01
PBX2	-2.008	9.777e-01	-1.925	0.465	0.811	9.696e-01
RFX1	-2.465	9.932e-01	-1.551	0.441	0.811	9.698e-01
CDC5L	-1.659	9.515e-01	-1.498	0.391	0.812	9.701e-01
SUPT5H	-2.582	9.951e-01	-2.036	0.487	0.812	9.703e-01
HMBOX1	-1.246	8.937e-01	-1.652	0.372	0.813	9.706e-01
ZBTB10	-1.221	8.890e-01	-1.738	0.375	0.814	9.710e-01
IRF1	-3.487	9.998e-01	-2.577	0.502	0.814	9.711e-01
ZBTB7B	-1.180	8.809e-01	-1.752	0.379	0.814	9.711e-01
CHD4	-1.634	9.489e-01	-1.939	0.442	0.815	9.715e-01
ZBTB11	-2.651	9.960e-01	-2.174	0.489	0.817	9.723e-01
ARNTL	-1.979	9.761e-01	-1.750	0.436	0.817	9.726e-01
COPS2	-1.065	8.565e-01	-1.891	0.390	0.818	9.728e-01
SRSF3	-1.386	9.171e-01	-1.808	0.400	0.818	9.728e-01
SREBF2	-1.177	8.804e-01	-1.793	0.379	0.819	9.733e-01
MED12	-1.781	9.625e-01	-2.447	0.476	0.820	9.736e-01
E2F8	-1.083	8.606e-01	-1.883	0.389	0.821	9.741e-01
ZSCAN2	-1.492	9.321e-01	-1.403	0.339	0.822	9.747e-01
GTF3C2	-1.016	8.452e-01	-2.689	0.428	0.822	9.748e-01
FAM208A	-1.223	8.894e-01	-2.025	0.414	0.823	9.750e-01
H3F3B	-1.653	9.508e-01	-1.110	0.294	0.824	9.753e-01
ARID5B	-1.224	8.895e-01	-1.796	0.374	0.824	9.753e-01
CD59	-1.274	8.987e-01	-1.773	0.369	0.825	9.759e-01
STAT1	-2.731	9.968e-01	-2.532	0.493	0.825	9.759e-01
HES2	-5.977	1.000e+00	-1.005	0.407	0.828	9.769e-01
CDK8	-3.020	9.987e-01	-2.698	0.495	0.828	9.769e-01
SREBF1	-1.901	9.713e-01	-1.834	0.436	0.828	9.769e-01
CSNK2A1	-1.114	8.674e-01	-1.891	0.386	0.828	9.769e-01
ELL2	-2.720	9.967e-01	-1.819	0.456	0.830	9.780e-01
POLR3A	-1.655	9.510e-01	-2.093	0.440	0.831	9.783e-01
PML	-3.082	9.990e-01	-2.455	0.489	0.831	9.785e-01
GLI2	-2.871	9.980e-01	-3.308	0.493	0.832	9.787e-01
KMT2D	-3.005	9.987e-01	-1.832	0.458	0.834	9.793e-01
CASP8AP2	-1.355	9.123e-01	-1.779	0.360	0.836	9.801e-01
RUNX1T1	-2.767	9.972e-01	-1.431	0.409	0.837	9.806e-01
ZNF274	-2.371	9.911e-01	-0.742	0.291	0.838	9.808e-01
NFYB	-1.775	9.620e-01	-2.057	0.438	0.840	9.815e-01
GTF2B	-3.787	9.999e-01	-1.966	0.472	0.842	9.822e-01
ELK3	-1.087	8.614e-01	-2.118	0.389	0.842	9.822e-01
YBX3	-1.853	9.680e-01	-1.590	0.381	0.842	9.823e-01
NFAT5	-1.340	9.098e-01	-1.831	0.362	0.842	9.823e-01
SIX5	-2.267	9.883e-01	-1.783	0.424	0.844	9.828e-01
MIER1	-1.485	9.312e-01	-1.961	0.398	0.844	9.831e-01
NFYC	-1.384	9.169e-01	-1.815	0.356	0.844	9.831e-01
HINFP	-1.887	9.704e-01	-2.551	0.459	0.847	9.839e-01
HCFC1	-2.480	9.934e-01	-1.889	0.441	0.847	9.840e-01
ZNF83	-1.789	9.632e-01	-2.524	0.452	0.848	9.841e-01
CEBPA	-4.112	1.000e+00	-2.217	0.481	0.848	9.842e-01
IRF3	-1.662	9.518e-01	-1.880	0.395	0.848	9.843e-01
MBTD1	-1.067	8.571e-01	-2.442	0.390	0.848	9.843e-01
BCL3	-5.842	1.000e+00	-2.200	0.482	0.849	9.844e-01
ETS2	-2.090	9.817e-01	-2.168	0.448	0.850	9.848e-01
KAT5	-2.004	9.775e-01	-1.871	0.419	0.850	9.849e-01
MAFB	-1.338	9.095e-01	-1.892	0.362	0.850	9.849e-01
HDAC6	-1.586	9.437e-01	-2.090	0.411	0.851	9.852e-01
C11orf30	-1.613	9.466e-01	-2.010	0.401	0.852	9.853e-01
ILK	-2.359	9.908e-01	-1.073	0.303	0.852	9.853e-01
RBCK1	-1.484	9.311e-01	-1.800	0.340	0.852	9.855e-01
PAF1	-3.405	9.997e-01	-2.003	0.462	0.853	9.856e-01
GRIP1	-2.365	9.910e-01	-1.080	0.307	0.853	9.856e-01
SIRT6	-1.507	9.341e-01	-1.775	0.336	0.853	9.856e-01
BARX2	-1.565	9.412e-01	-1.749	0.322	0.855	9.862e-01
CCNT2	-1.062	8.558e-01	-2.890	0.391	0.856	9.864e-01
CHAMP1	-1.473	9.297e-01	-2.184	0.399	0.856	9.865e-01
HOXA1	-1.480	9.306e-01	-1.837	0.340	0.857	9.867e-01
NFYA	-2.583	9.951e-01	-1.858	0.430	0.857	9.868e-01
POLR2B	-1.568	9.416e-01	-2.091	0.399	0.857	9.869e-01
PRAME	-1.117	8.679e-01	-2.535	0.386	0.861	9.879e-01
RXRG	-3.144	9.992e-01	-1.944	0.444	0.861	9.879e-01
NFE2L1	-3.129	9.991e-01	-1.219	0.350	0.861	9.879e-01
DPF2	-2.106	9.824e-01	-1.812	0.395	0.861	9.880e-01
DEAF1	-1.371	9.149e-01	-1.967	0.357	0.863	9.884e-01
PTRF	-2.380	9.913e-01	-1.177	0.283	0.864	9.887e-01
U2AF1	-2.130	9.834e-01	-1.822	0.397	0.864	9.887e-01
MXD3	-1.515	9.351e-01	-1.851	0.335	0.865	9.888e-01
ZIC2	-1.363	9.135e-01	-2.032	0.359	0.865	9.889e-01
ZNF711	-1.326	9.077e-01	-2.115	0.364	0.866	9.893e-01
E2F5	-1.432	9.239e-01	-2.897	0.400	0.871	9.903e-01
KDM4B	-1.683	9.538e-01	-2.230	0.404	0.872	9.905e-01
LYL1	-4.028	1.000e+00	-1.163	0.327	0.872	9.906e-01
PTTG1	-2.414	9.921e-01	-1.278	0.264	0.872	9.907e-01
CSDE1	-2.306	9.894e-01	-1.956	0.419	0.872	9.907e-01
SNAPC1	-1.720	9.573e-01	-1.678	0.242	0.874	9.910e-01
NR2C2	-4.068	1.000e+00	-2.154	0.454	0.874	9.911e-01
ZBTB16	-2.422	9.923e-01	-1.885	0.407	0.874	9.911e-01
GMEB1	-1.708	9.562e-01	-1.740	0.260	0.875	9.913e-01
EMSY	-1.596	9.448e-01	-1.867	0.314	0.876	9.914e-01
NBN	-2.534	9.944e-01	-2.038	0.426	0.876	9.914e-01
HLTF	-1.682	9.537e-01	-2.166	0.390	0.878	9.919e-01
NFE2	-3.560	9.998e-01	-2.864	0.463	0.880	9.923e-01
ZNF131	-1.683	9.538e-01	-1.799	0.279	0.880	9.923e-01
TDRD3	-1.553	9.398e-01	-1.952	0.324	0.881	9.924e-01
CD74	-2.654	9.960e-01	-1.588	0.342	0.881	9.925e-01
DDX21	-1.825	9.660e-01	-1.950	0.368	0.884	9.930e-01
RBP2	-1.618	9.471e-01	-1.921	0.308	0.885	9.932e-01
MLLT3	-1.306	9.042e-01	-2.900	0.365	0.885	9.932e-01
ELF2	-1.726	9.578e-01	-1.809	0.231	0.887	9.935e-01
FUS	-1.773	9.619e-01	-2.079	0.373	0.887	9.935e-01
SPIN1	-1.442	9.254e-01	-2.302	0.347	0.888	9.937e-01
MCM3	-2.018	9.782e-01	-1.878	0.351	0.888	9.937e-01
NELFA	-4.308	1.000e+00	-1.930	0.422	0.889	9.938e-01
IRF9	-2.349	9.906e-01	-1.615	0.300	0.889	9.939e-01
MEN1	-1.909	9.718e-01	-1.953	0.364	0.890	9.940e-01
ADNP	-1.690	9.545e-01	-2.327	0.385	0.890	9.941e-01
SKI	-1.642	9.497e-01	-1.939	0.300	0.891	9.941e-01
NFE2L2	-3.187	9.993e-01	-1.857	0.394	0.892	9.943e-01
ZNF75A	-1.675	9.530e-01	-1.935	0.284	0.894	9.947e-01
WHSC1	-2.014	9.780e-01	-1.927	0.350	0.894	9.947e-01
PYGO2	-2.348	9.906e-01	-1.738	0.301	0.896	9.949e-01
SPDEF	-2.029	9.788e-01	-2.644	0.408	0.896	9.949e-01
STAT2	-2.451	9.929e-01	-2.366	0.420	0.897	9.950e-01
TEAD2	-2.286	9.889e-01	-1.781	0.317	0.897	9.951e-01
JMJD1C	-2.547	9.946e-01	-2.008	0.394	0.897	9.951e-01
ID3	-1.680	9.535e-01	-2.617	0.378	0.899	9.953e-01
FOXK2	-3.196	9.993e-01	-2.151	0.421	0.900	9.955e-01
MCM7	-2.929	9.983e-01	-1.611	0.291	0.900	9.955e-01
GMEB2	-2.201	9.861e-01	-1.903	0.346	0.902	9.958e-01
NR4A1	-2.651	9.960e-01	-2.386	0.413	0.906	9.962e-01
DNMT1	-2.087	9.816e-01	-2.546	0.392	0.906	9.963e-01
NKRF	-1.976	9.759e-01	-2.258	0.370	0.907	9.964e-01
SMAD5	-2.129	9.834e-01	-2.052	0.349	0.909	9.966e-01
ELK1	-3.808	9.999e-01	-2.210	0.417	0.911	9.968e-01
GTF2A2	-1.691	9.546e-01	-2.085	0.273	0.911	9.969e-01
FOXP3	-2.114	9.828e-01	-2.063	0.347	0.911	9.969e-01
ORC2	-1.575	9.424e-01	-2.604	0.320	0.912	9.969e-01
ZNF740	-2.136	9.836e-01	-3.235	0.398	0.913	9.970e-01
EPC1	-2.322	9.899e-01	-1.892	0.318	0.915	9.972e-01
KLF13	-2.077	9.811e-01	-2.245	0.356	0.915	9.973e-01
ZNF197	-1.836	9.669e-01	-2.798	0.366	0.916	9.973e-01
ZSCAN29	-1.957	9.748e-01	-2.805	0.367	0.919	9.976e-01
GTF2E2	-1.677	9.533e-01	-2.396	0.282	0.921	9.977e-01
DIDO1	-2.147	9.841e-01	-2.190	0.341	0.922	9.979e-01
KAT8	-2.542	9.945e-01	-2.209	0.368	0.924	9.980e-01
KDM5A	-3.203	9.993e-01	-1.891	0.324	0.927	9.983e-01
MEF2D	-2.296	9.892e-01	-2.053	0.311	0.927	9.983e-01
ZNF644	-2.086	9.815e-01	-2.776	0.351	0.928	9.983e-01
STAT5	-3.052	9.989e-01	-2.075	0.353	0.930	9.984e-01
FOXJ2	-2.099	9.821e-01	-2.539	0.345	0.930	9.984e-01
ZNF318	-3.065	9.989e-01	-2.204	0.363	0.934	9.987e-01
HDAC8	-2.640	9.959e-01	-2.395	0.349	0.939	9.990e-01
DDX20	-3.157	9.992e-01	-2.159	0.348	0.939	9.990e-01
ELK4	-3.287	9.995e-01	-2.031	0.324	0.940	9.990e-01
NCOA1	-2.255	9.879e-01	-2.443	0.319	0.941	9.991e-01
ZNF584	-2.231	9.872e-01	-2.793	0.336	0.941	9.991e-01
POLR2H	-2.160	9.846e-01	-2.800	0.332	0.942	9.991e-01
ZNF589	-2.179	9.854e-01	-2.972	0.339	0.942	9.991e-01
CREB3	-2.326	9.900e-01	-2.270	0.302	0.943	9.992e-01
ZKSCAN8	-2.233	9.872e-01	-2.611	0.321	0.943	9.992e-01
NFRKB	-2.407	9.919e-01	-2.250	0.276	0.948	9.994e-01
KRAB	-3.531	9.998e-01	-2.477	0.340	0.957	9.996e-01
